Empire: Shuttle-E4 shoots at Fighter-A24. Result: 5 damage, 35 strength left.
Alliance: Transport-A13 shoots at Scout-E20. Result: 6 damage, 44 strength left.
Empire: Fighter-E22 shoots at Fighter-A20. Result: 25 damage, 15 strength left.
Alliance: Transport-A14 shoots at Scout-E17. Result: 0 damage, 50 strength left.
Empire: Shuttle-E9 shoots at Shuttle-A6. Result: 0 damage, 10 strength left.
Alliance: Shuttle-A10 shoots at Shuttle-E5. Result: 0 damage, 8 strength left.
Empire: Transport-E11 shoots at Shuttle-A10. Result: 9 damage, 1 strength left.
Alliance: Scout-A17 shoots at Shuttle-E2. Result: 0 damage, 8 strength left.
Empire: Bomber-E25 shoots at Shuttle-A9. Result: 30 damage, 0 strength left.
Alliance: Transport-A13 shoots at Shuttle-E8. Result: 0 damage, 8 strength left.
Empire: Shuttle-E3 shoots at Shuttle-A8. Result: 0 damage, 10 strength left.
Alliance: Fighter-A20 shoots at Fighter-E21. Result: 0 damage, 30 strength left.
Empire: Fighter-E22 shoots at Fighter-A23. Result: 25 damage, 40 strength left.
Alliance: Shuttle-A2 shoots at Transport-E14. Result: 4 damage, 21 strength left.
Empire: Transport-E12 shoots at Shuttle-A10. Result: 9 damage, 0 strength left.
Alliance: Scout-A16 shoots at Fighter-E22. Result: 9 damage, 30 strength left.
Empire: Shuttle-E5 shoots at Fighter-A23. Result: 5 damage, 35 strength left.
Alliance: Fighter-A20 shoots at Transport-E12. Result: 0 damage, 25 strength left.
Empire: Shuttle-E10 shoots at Shuttle-A3. Result: 5 damage, 10 strength left.
Alliance: Shuttle-A1 shoots at Scout-E18. Result: 0 damage, 50 strength left.
Empire: Shuttle-E3 shoots at Fighter-A21. Result: 5 damage, 35 strength left.
Alliance: Bomber-A25 shoots at Bomber-E24. Result: 20 damage, 0 strength left.
Empire: Fighter-E22 shoots at Shuttle-A7. Result: 25 damage, 0 strength left.
Alliance: Transport-A14 shoots at Transport-E13. Result: 0 damage, 25 strength left.
Empire: Transport-E15 shoots at Shuttle-A2. Result: 9 damage, 1 strength left.
Alliance: Shuttle-A5 shoots at Shuttle-E8. Result: 0 damage, 8 strength left.
Empire: Scout-E18 shoots at Fighter-A24. Result: 14 damage, 21 strength left.
Alliance: Scout-A17 shoots at Transport-E15. Result: 9 damage, 16 strength left.
Empire: Shuttle-E1 shoots at Fighter-A24. Result: 5 damage, 21 strength left.
Alliance: Shuttle-A4 shoots at Transport-E13. Result: 4 damage, 21 strength left.
Empire: Shuttle-E7 shoots at Shuttle-A8. Result: 0 damage, 10 strength left.
Alliance: Fighter-A21 shoots at Transport-E13. Result: 0 damage, 21 strength left.
Empire: Shuttle-E6 shoots at Fighter-A20. Result: 5 damage, 10 strength left.
Alliance: Shuttle-A4 shoots at Scout-E16. Result: 0 damage, 50 strength left.
Empire: Transport-E12 shoots at Transport-A14. Result: 9 damage, 21 strength left.
Alliance: Transport-A15 shoots at Scout-E20. Result: 0 damage, 44 strength left.
Empire: Transport-E13 shoots at Transport-A12. Result: 9 damage, 21 strength left.
Alliance: Shuttle-A11 shoots at Transport-E12. Result: 0 damage, 25 strength left.
Empire: Transport-E14 shoots at Shuttle-A3. Result: 0 damage, 10 strength left.
Alliance: Shuttle-A5 shoots at Bomber-E25. Result: 4 damage, 11 strength left.
Empire: Shuttle-E8 shoots at Fighter-A23. Result: 5 damage, 30 strength left.
Alliance: Fighter-A21 shoots at Bomber-E25. Result: 15 damage, 0 strength left.
Empire: Transport-E13 shoots at Shuttle-A5. Result: 9 damage, 10 strength left.
Alliance: Transport-A14 shoots at Scout-E18. Result: 6 damage, 44 strength left.
Empire: Shuttle-E3 shoots at Shuttle-A5. Result: 0 damage, 10 strength left.
Alliance: Fighter-A24 shoots at Transport-E13. Result: 15 damage, 6 strength left.
Empire: Shuttle-E5 shoots at Transport-A14. Result: 5 damage, 16 strength left.
Alliance: Shuttle-A8 shoots at Scout-E16. Result: 4 damage, 50 strength left.
Empire: Shuttle-E9 shoots at Shuttle-A1. Result: 5 damage, 5 strength left.
Alliance: Transport-A12 shoots at Transport-E15. Result: 0 damage, 16 strength left.
Empire: Shuttle-E9 shoots at Scout-A16. Result: 0 damage, 60 strength left.
Alliance: Shuttle-A6 shoots at Shuttle-E8. Result: 0 damage, 8 strength left.
Empire: Shuttle-E9 shoots at Transport-A14. Result: 0 damage, 16 strength left.
Alliance: Transport-A15 shoots at Fighter-E23. Result: 6 damage, 24 strength left.
Empire: Scout-E17 shoots at Transport-A13. Result: 14 damage, 16 strength left.
Alliance: Shuttle-A11 shoots at Scout-E18. Result: 0 damage, 44 strength left.
Empire: Fighter-E21 shoots at Fighter-A20. Result: 25 damage, 0 strength left.
Alliance: Fighter-A21 shoots at Transport-E12. Result: 15 damage, 10 strength left.
Empire: Fighter-E22 shoots at Shuttle-A5. Result: 25 damage, 0 strength left.
Alliance: Fighter-A21 shoots at Transport-E14. Result: 15 damage, 6 strength left.
Empire: Shuttle-E5 shoots at Shuttle-A3. Result: 0 damage, 10 strength left.
Alliance: Transport-A15 shoots at Shuttle-E5. Result: 0 damage, 8 strength left.
Empire: Shuttle-E1 shoots at Shuttle-A1. Result: 5 damage, 0 strength left.
Alliance: Shuttle-A11 shoots at Shuttle-E9. Result: 0 damage, 8 strength left.
Empire: Scout-E20 shoots at Fighter-A23. Result: 14 damage, 30 strength left.
Alliance: Scout-A18 shoots at Scout-E20. Result: 9 damage, 35 strength left.
Empire: Shuttle-E1 shoots at Fighter-A21. Result: 0 damage, 35 strength left.
Alliance: Shuttle-A4 shoots at Shuttle-E7. Result: 0 damage, 8 strength left.
Empire: Transport-E12 shoots at Shuttle-A6. Result: 9 damage, 1 strength left.
Alliance: Transport-A15 shoots at Transport-E11. Result: 6 damage, 19 strength left.
Empire: Transport-E13 shoots at Transport-A15. Result: 9 damage, 21 strength left.
Alliance: Transport-A12 shoots at Shuttle-E5. Result: 6 damage, 2 strength left.
Empire: Fighter-E22 shoots at Shuttle-A6. Result: 25 damage, 0 strength left.
Alliance: Shuttle-A3 shoots at Shuttle-E10. Result: 4 damage, 4 strength left.
Empire: Shuttle-E10 shoots at Shuttle-A8. Result: 0 damage, 10 strength left.
Alliance: Transport-A15 shoots at Transport-E14. Result: 6 damage, 0 strength left.
Empire: Fighter-E22 shoots at Scout-A16. Result: 25 damage, 35 strength left.
Alliance: Transport-A14 shoots at Shuttle-E3. Result: 6 damage, 2 strength left.
Empire: Transport-E13 shoots at Shuttle-A4. Result: 0 damage, 10 strength left.
Alliance: Fighter-A24 shoots at Transport-E15. Result: 15 damage, 1 strength left.
Empire: Shuttle-E9 shoots at Transport-A12. Result: 5 damage, 16 strength left.
Alliance: Transport-A12 shoots at Shuttle-E9. Result: 0 damage, 8 strength left.
Empire: Fighter-E22 shoots at Fighter-A21. Result: 25 damage, 10 strength left.
Alliance: Fighter-A21 shoots at Shuttle-E3. Result: 15 damage, 2 strength left.
Empire: Scout-E20 shoots at Transport-A12. Result: 14 damage, 2 strength left.
Alliance: Bomber-A25 shoots at Scout-E18. Result: 20 damage, 24 strength left.
Empire: Shuttle-E9 shoots at Transport-A15. Result: 5 damage, 16 strength left.
Alliance: Shuttle-A4 shoots at Fighter-E23. Result: 0 damage, 24 strength left.
Empire: Shuttle-E1 shoots at Shuttle-A8. Result: 0 damage, 10 strength left.
Alliance: Shuttle-A8 shoots at Transport-E12. Result: 4 damage, 6 strength left.
Empire: Scout-E20 shoots at Fighter-A21. Result: 14 damage, 0 strength left.
Alliance: Transport-A15 shoots at Scout-E17. Result: 0 damage, 50 strength left.
Empire: Shuttle-E10 shoots at Scout-A17. Result: 0 damage, 60 strength left.
Alliance: Shuttle-A3 shoots at Fighter-E23. Result: 4 damage, 24 strength left.
Empire: Fighter-E22 shoots at Bomber-A25. Result: 0 damage, 20 strength left.
Alliance: Scout-A16 shoots at Scout-E16. Result: 9 damage, 41 strength left.
Empire: Fighter-E22 shoots at Transport-A12. Result: 25 damage, 0 strength left.
Alliance: Shuttle-A3 shoots at Shuttle-E4. Result: 4 damage, 4 strength left.
Empire: Shuttle-E5 shoots at Transport-A15. Result: 5 damage, 11 strength left.
Alliance: Fighter-A24 shoots at Transport-E13. Result: 15 damage, 0 strength left.
Empire: Shuttle-E4 shoots at Shuttle-A4. Result: 5 damage, 5 strength left.
Alliance: Scout-A19 shoots at Shuttle-E5. Result: 9 damage, 0 strength left.
Empire: Transport-E12 shoots at Shuttle-A8. Result: 9 damage, 10 strength left.
Alliance: Bomber-A25 shoots at Scout-E17. Result: 20 damage, 30 strength left.
Empire: Transport-E11 shoots at Transport-A13. Result: 9 damage, 7 strength left.
Alliance: Transport-A15 shoots at Scout-E17. Result: 0 damage, 30 strength left.
Empire: Shuttle-E8 shoots at Bomber-A25. Result: 5 damage, 15 strength left.
Alliance: Scout-A18 shoots at Scout-E17. Result: 9 damage, 21 strength left.
Empire: Fighter-E21 shoots at Fighter-A22. Result: 25 damage, 15 strength left.
Alliance: Transport-A14 shoots at Shuttle-E1. Result: 0 damage, 8 strength left.
Empire: Transport-E12 shoots at Shuttle-A3. Result: 9 damage, 1 strength left.
Alliance: Scout-A17 shoots at Scout-E17. Result: 0 damage, 21 strength left.
Empire: Scout-E18 shoots at Shuttle-A3. Result: 14 damage, 0 strength left.
Alliance: Transport-A13 shoots at Shuttle-E9. Result: 6 damage, 2 strength left.
Empire: Shuttle-E2 shoots at Scout-A17. Result: 5 damage, 55 strength left.
Alliance: Transport-A13 shoots at Shuttle-E6. Result: 6 damage, 2 strength left.
Empire: Fighter-E23 shoots at Scout-A18. Result: 25 damage, 60 strength left.
Alliance: Fighter-A23 shoots at Shuttle-E6. Result: 15 damage, 2 strength left.
Empire: Scout-E18 shoots at Bomber-A25. Result: 14 damage, 1 strength left.
Alliance: Transport-A15 shoots at Transport-E11. Result: 6 damage, 13 strength left.
Empire: Transport-E15 shoots at Shuttle-A11. Result: 0 damage, 10 strength left.
Alliance: Transport-A14 shoots at Scout-E18. Result: 0 damage, 24 strength left.
Empire: Shuttle-E2 shoots at Scout-A16. Result: 5 damage, 30 strength left.
Alliance: Shuttle-A11 shoots at Fighter-E23. Result: 0 damage, 24 strength left.
Empire: Shuttle-E10 shoots at Fighter-A23. Result: 5 damage, 30 strength left.
Alliance: Shuttle-A8 shoots at Shuttle-E10. Result: 4 damage, 4 strength left.
Empire: Shuttle-E6 shoots at Shuttle-A4. Result: 5 damage, 0 strength left.
Alliance: Shuttle-A8 shoots at Transport-E11. Result: 4 damage, 9 strength left.
Empire: Transport-E15 shoots at Shuttle-A8. Result: 9 damage, 1 strength left.
Alliance: Transport-A15 shoots at Scout-E16. Result: 0 damage, 41 strength left.
Empire: Transport-E15 shoots at Bomber-A25. Result: 9 damage, 0 strength left.
Alliance: Scout-A16 shoots at Transport-E12. Result: 0 damage, 6 strength left.
Empire: Scout-E18 shoots at Transport-A14. Result: 14 damage, 2 strength left.
Alliance: Transport-A13 shoots at Shuttle-E8. Result: 0 damage, 8 strength left.
Empire: Transport-E11 shoots at Shuttle-A8. Result: 9 damage, 0 strength left.
Alliance: Shuttle-A11 shoots at Scout-E20. Result: 0 damage, 35 strength left.
Empire: Shuttle-E3 shoots at Transport-A14. Result: 5 damage, 2 strength left.
Alliance: Transport-A13 shoots at Shuttle-E2. Result: 0 damage, 8 strength left.
Empire: Scout-E19 shoots at Shuttle-A11. Result: 14 damage, 0 strength left.
Alliance: Scout-A16 shoots at Scout-E17. Result: 0 damage, 21 strength left.
Empire: Scout-E16 shoots at Fighter-A24. Result: 14 damage, 21 strength left.
Alliance: Scout-A18 shoots at Shuttle-E6. Result: 9 damage, 0 strength left.
Empire: Fighter-E22 shoots at Scout-A16. Result: 25 damage, 5 strength left.
Alliance: Scout-A17 shoots at Scout-E18. Result: 9 damage, 15 strength left.
Empire: Shuttle-E4 shoots at Transport-A15. Result: 5 damage, 6 strength left.
Alliance: Transport-A14 shoots at Fighter-E22. Result: 0 damage, 30 strength left.
Empire: Shuttle-E2 shoots at Transport-A15. Result: 5 damage, 1 strength left.
Alliance: Fighter-A24 shoots at Shuttle-E10. Result: 15 damage, 0 strength left.
